model,run,synthesis,historical,rcp26,rcp45,rcp60,rcp85
ACCESS1-0,r1i1p1,0,AORCM,,AORCM,,AORCM
ACCESS1-0,r2i1p1,0,-,,,,
ACCESS1-3,r1i1p1,0,3Dml,,3Dml,,3Dml
ACCESS1-3,r2i1p1,0,Basic,,,,
ACCESS1-3,r3i1p1,0,Basic,,,,
BNU-ESM,r1i1p1,0,ESD,ESD,ESD,,ESD
CCSM4,r1i1p1,0,Basic,Basic,Basic,Basic,Basic
CCSM4,r1i2p1,0,Basic,,,,
CCSM4,r1i2p2,0,Basic,,,,
CCSM4,r2i1p1,0,Basic,Basic,Basic,Basic,Basic
CCSM4,r3i1p1,0,-,Basic,Basic,Basic,Basic
CCSM4,r4i1p1,0,-,Basic,Basic,Basic,Basic
CCSM4,r5i1p1,0,-,Basic,Basic,Basic,Basic
CCSM4,r6i1p1,0,3Dml,-,3Dml,ESD,3Dml
CESM1-BGC,r1i1p1,0,Basic,,Basic,,Basic
CESM1-CAM5,r1i1p1,0,Basic,Basic,Basic,Basic,Basic
CESM1-CAM5,r2i1p1,0,-,Basic,Basic,Basic,Basic
CESM1-CAM5,r3i1p1,0,-,Basic,Basic,Basic,Basic
CESM1-FASTCHEM,r1i1p1,0,-,,,,
CESM1-FASTCHEM,r2i1p1,0,-,,,,
CESM1-FASTCHEM,r3i1p1,0,-,,,,
CESM1-WACCM,r1i1p1,0,-,,,,
CESM1-WACCM,r2i1p1,0,-,-,-,,-
CESM1-WACCM,r3i1p1,0,-,-,-,,-
CESM1-WACCM,r4i1p1,0,-,-,-,,-
CMCC-CESM,r1i1p1,0,ESD,,,,ESD
CMCC-CMS,r1i1p1,0,ESD,,ESD,,ESD
CMCC-CM,r1i1p1,0,3Dml,,3Dml,,ESD
CNRM-CM5-2,r1i1p1,0,-,,,,
CNRM-CM5,r1i1p1,0,3Dml,ESD,3Dml,,3Dml
CNRM-CM5,r2i1p1,0,Basic,,,,-
CNRM-CM5,r3i1p1,0,Basic,,,,
CNRM-CM5,r4i1p1,0,Basic,,,,-
CNRM-CM5,r5i1p1,0,Basic,,,,
CNRM-CM5,r6i1p1,0,Basic,,,,-
CNRM-CM5,r7i1p1,0,Basic,,,,
CNRM-CM5,r8i1p1,0,Basic,,,,
CNRM-CM5,r9i1p1,0,Basic,,,,
CNRM-CM5,r10i1p1,0,Basic,,,,-
CSIRO-Mk3-6-0,r1i1p1,0,AORCM,Basic,AORCM,Basic,AORCM
CSIRO-Mk3-6-0,r2i1p1,0,Basic,Basic,Basic,Basic,Basic
CSIRO-Mk3-6-0,r3i1p1,0,Basic,Basic,Basic,Basic,Basic
CSIRO-Mk3-6-0,r4i1p1,0,Basic,Basic,Basic,Basic,Basic
CSIRO-Mk3-6-0,r5i1p1,0,Basic,Basic,Basic,Basic,Basic
CSIRO-Mk3-6-0,r6i1p1,0,Basic,Basic,Basic,Basic,Basic
CSIRO-Mk3-6-0,r7i1p1,0,Basic,Basic,Basic,Basic,Basic
CSIRO-Mk3-6-0,r8i1p1,0,Basic,Basic,Basic,Basic,Basic
CSIRO-Mk3-6-0,r9i1p1,0,Basic,Basic,Basic,Basic,Basic
CSIRO-Mk3-6-0,r10i1p1,0,Basic,Basic,Basic,Basic,Basic
CanCM4,r1i1p1,0,-,,-,,
CanCM4,r2i1p1,0,-,,-,,
CanCM4,r3i1p1,0,-,,-,,
CanCM4,r4i1p1,0,-,,-,,
CanCM4,r5i1p1,0,-,,-,,
CanCM4,r6i1p1,0,-,,-,,
CanCM4,r7i1p1,0,-,,-,,
CanCM4,r8i1p1,0,-,,-,,
CanCM4,r9i1p1,0,-,,-,,
CanCM4,r10i1p1,0,-,,-,,
CanESM2,r1i1p1,0,3Dml,ESD,3Dml,,3Dml
CanESM2,r2i1p1,0,ESD,ESD,ESD,,ESD
CanESM2,r3i1p1,0,ESD,ESD,ESD,,ESD
CanESM2,r4i1p1,0,ESD,ESD,ESD,,ESD
CanESM2,r5i1p1,0,ESD,ESD,ESD,,ESD
EC-EARTH,r1i1p1,0,Basic,,ESD,,ESD
EC-EARTH,r2i1p1,0,ESD,,ESD,,ESD
EC-EARTH,r3i1p1,0,-,,-,,-
EC-EARTH,r5i1p1,0,-,,Basic,,-
EC-EARTH,r6i1p1,0,Basic,,Basic,,Basic
EC-EARTH,r7i1p1,0,ESD,,ESD,,ESD
EC-EARTH,r8i1p1,0,Basic,Basic,ESD,,ESD
EC-EARTH,r9i1p1,0,ESD,,Basic,,ESD
EC-EARTH,r10i1p1,0,-,,-,,-
EC-EARTH,r11i1p1,0,Basic,,Basic,,Basic
EC-EARTH,r12i1p1,0,ESD,ESD,ESD,,ESD
EC-EARTH,r13i1p1,0,Basic,,Basic,,-
EC-EARTH,r14i1p1,0,Basic,,Basic,,Basic
FGOALS-g2,r1i1p1,0,3Dml,3Dml,3Dml,,3Dml
FGOALS-g2,r2i1p1,0,-,,,,
FGOALS-g2,r3i1p1,0,-,,,,
FGOALS-g2,r4i1p1,0,-,,,,
FGOALS-g2,r5i1p1,0,-,,,,
FIO-ESM,r1i1p1,0,-,-,-,-,-
FIO-ESM,r2i1p1,0,-,-,-,-,-
FIO-ESM,r3i1p1,0,-,-,-,-,-
GFDL-CM2p1,r1i1p1,0,-,,-,,
GFDL-CM2p1,r2i1p1,0,-,,-,,
GFDL-CM2p1,r3i1p1,0,-,,-,,
GFDL-CM2p1,r4i1p1,0,-,,-,,
GFDL-CM2p1,r5i1p1,0,-,,-,,
GFDL-CM2p1,r6i1p1,0,-,,-,,
GFDL-CM2p1,r7i1p1,0,-,,-,,
