model,run,synthesis,historical,rcp26,rcp45,rcp60,rcp85
ACCESS1-0,r1i1p1,1,AORCM,,AORCM,,AORCM
CSIRO-Mk3-6-0,r1i1p1,1,AORCM,Basic,AORCM,Basic,AORCM
GFDL-CM3,r1i1p1,1,ARCM,Basic,ARCM,ESD,ARCM
GFDL-ESM2G,r1i1p1,1,AORCM,AORCM,AORCM,AORCM,AORCM
GFDL-ESM2M,r1i1p1,1,AORCM,AORCM,AORCM,AORCM,AORCM
GISS-E2-R,r6i1p3,,AORCM,,AORCM,,
HadGEM2-ES,r1i1p1,1,AORCM,AORCM,AORCM,ESD,AORCM
HadGEM2-ES,r2i1p1,1,AORCM,Basic,AORCM,Basic,AORCM
IPSL-CM5A-LR,r1i1p1,1,AORCM,AORCM,AORCM,AORCM,AORCM
IPSL-CM5A-LR,r2i1p1,1,AORCM,AORCM,AORCM,,AORCM
IPSL-CM5A-LR,r3i1p1,1,AORCM,AORCM,AORCM,,AORCM
IPSL-CM5A-LR,r4i1p1,1,AORCM,AORCM,AORCM,,AORCM
IPSL-CM5A-MR,r1i1p1,1,AORCM,AORCM,AORCM,3Dml,AORCM
IPSL-CM5B-LR,r1i1p1,1,AORCM,,AORCM,,AORCM
MIROC5,r1i1p1,1,AORCM,AORCM,AORCM,AORCM,AORCM
MIROC-ESM,r1i1p1,1,AORCM,Basic,AORCM,Basic,AORCM
MIROC-ESM-CHEM,r1i1p1,1,AORCM,ESD,AORCM,ESD,AORCM
MRI-CGCM3,r1i1p1,1,AORCM,ESD,AORCM,ESD,AORCM
NorESM1-M,r1i1p1,1,AORCM,AORCM,AORCM,AORCM,AORCM
