model,run,synthesis,historical,ssp119,ssp126,ssp245,ssp370,ssp585
CMCC-CM2-SR5,r1i1p1f1,1,AORCM,,AORCM,AORCM,AORCM,AORCM
CMCC-ESM2,r1i1p1f1,1,AORCM,,AORCM,AORCM,AORCM,AORCM
CNRM-CM6-1,r1i1p1f2,,AORCM,,AORCM,ESD,ESD,AORCM
CNRM-ESM2-1,r1i1p1f2,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
CNRM-ESM2-1,r14i1p1f2,1,AORCM,,AORCM,,AORCM,
CNRM-ESM2-1,r15i1p1f2,1,AORCM,,AORCM,,AORCM,
HadGEM3-GC31-LL,r1i1p1f3,,AORCM,,AORCM,AORCM,,AORCM
HadGEM3-GC31-MM,r1i1p1f3,,AORCM,,AORCM,,,AORCM
IPSL-CM6A-LR,r1i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
IPSL-CM6A-LR,r2i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
IPSL-CM6A-LR,r3i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
IPSL-CM6A-LR,r4i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
IPSL-CM6A-LR,r5i1p1f1,,AORCM,,,AORCM,AORCM,
IPSL-CM6A-LR,r6i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
IPSL-CM6A-LR,r7i1p1f1,,AORCM,,,,AORCM,
IPSL-CM6A-LR,r8i1p1f1,,AORCM,,,,AORCM,
IPSL-CM6A-LR,r9i1p1f1,,AORCM,,,,AORCM,
IPSL-CM6A-LR,r10i1p1f1,,AORCM,,,AORCM,AORCM,
IPSL-CM6A-LR,r11i1p1f1,,AORCM,,,AORCM,,
IPSL-CM6A-LR,r14i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
IPSL-CM6A-LR,r22i1p1f1,,AORCM,,,AORCM,,
IPSL-CM6A-LR,r25i1p1f1,,AORCM,,,AORCM,,
IPSL-CM6A-LR,r33i1p1f1,,AORCM,,,,,AORCM
MIROC6,r1i1p1f1,,AORCM,ESD,ESD,AORCM,ESD,ESD
MPI-ESM1-2-HR,r1i1p1f1,1,AORCM,,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-HR,r2i1p1f1,1,AORCM,,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-HR,r3i1p1f1,,AORCM,,,,AORCM,
MPI-ESM1-2-HR,r4i1p1f1,,AORCM,,,,AORCM,
MPI-ESM1-2-HR,r5i1p1f1,,AORCM,,,,AORCM,
MPI-ESM1-2-HR,r6i1p1f1,,AORCM,,,,AORCM,
MPI-ESM1-2-HR,r7i1p1f1,,AORCM,,,,AORCM,
MPI-ESM1-2-HR,r8i1p1f1,,AORCM,,,,AORCM,
MPI-ESM1-2-HR,r9i1p1f1,,AORCM,,,,AORCM,
MPI-ESM1-2-HR,r10i1p1f1,,AORCM,,,,AORCM,
MPI-ESM1-2-LR,r1i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r2i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r3i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r4i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r5i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r6i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r7i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r8i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r9i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r10i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r11i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r12i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r13i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r14i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r15i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r16i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r17i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r18i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r19i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r20i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r21i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r22i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r23i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r24i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r25i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r26i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r27i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r28i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
