,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria
. Plausible values,max,,,,,,,,,2.40,0.20,1.00,1.00,,,,,,,,
. Plausible values,min,,,,,,,,,1.20,0.01,0.00,1.00,,,,,,,,
model,run,synthesis,historical,ssp119,ssp126,ssp245,ssp370,ssp585,Synthesis,AR6 TCR,Bru20 perf,Dalelane MNQS,Qasmi Constr Global Dtas ssp245 2050,AR6 TCR as spread,Mindlin21 tropampl ssp585,Sch20 ECS,Bru20 mfamily,Aer. species,Bra21 complexity,Calendar,atm. res. km
ACCESS-CM2,r1i1p1f1,0.00,ESD,,ESD,AORCM,AORCM,ESD,1,2.10,0.07,0.79,0.00,2.10,1.68,4.72,HadGEM,,2222002000.00,gregorian,250.00
ACCESS-CM2,r2i1p1f1,0.00,Basic,,Basic,Basic,Basic,Basic,1,,,,0.00,,,,,,,,
ACCESS-CM2,r3i1p1f1,0.00,Basic,,Basic,Basic,Basic,Basic,1,,,,0.00,,1.68,,,,,,
ACCESS-CM2,r4i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,0,2.10,0.07,,,2.10,1.68,,,,,,
ACCESS-CM2,r5i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,0,2.10,0.07,,,2.10,1.67,,,,,,
ACCESS-ESM1-5,r1i1p1f1,0.00,RCM,,RCM,RCM,RCM,RCM,0,1.95,0.04,0.77,1.00,1.95,1.64,3.87,,,2222122020.00,gregorian,250.00
ACCESS-ESM1-5,r2i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,0,,0.04,,1.00,,,,,,,,
ACCESS-ESM1-5,r3i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,0,,0.04,,1.00,,,,,,,,
ACCESS-ESM1-5,r4i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,0,,,,1.00,,,,,,,,
ACCESS-ESM1-5,r5i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,0,,,,1.00,,1.64,,,,,,
ACCESS-ESM1-5,r6i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,0,,,,1.00,,1.74,,,,,,
ACCESS-ESM1-5,r7i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,0,,,,1.00,,1.71,,,,,,
ACCESS-ESM1-5,r8i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,0,,,,1.00,,1.72,,,,,,
ACCESS-ESM1-5,r9i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,0,,,,1.00,,1.70,,,,,,
ACCESS-ESM1-5,r10i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,0,,,,1.00,,1.68,,,,,,
ACCESS-ESM1-5,r11i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,0,,,,1.00,,,,,,,,
ACCESS-ESM1-5,r19i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,0,,,,1.00,,,,,,,,
